слово,частота
ужасно,1
богатаго,1
увидите,1
если,4
извести,1
держу,1
давали,2
скучно,1
бываютъ,3
сказала,10
можно,5
добыть,1
умомъ,2
даже,5
полное,1
зашевелилось,1
нея,1
полномъ,1
люди,3
я,77
прославляли,1
другіе,1
покупки,3
что-то,1
лыкомъ,1
сумѣетъ,1
свистульками,1
бѣднаго,1
богатомъ,1
чистую,1
карманные,1
стеклышки,1
превосходномъ,1
блистаніе,2
перекупить,1
подумалъ,1
проще,1
найдетъ,1
выражало,2
спи,1
пуговицами,2
крѣпче,1
ближнихъ,1
выразительныхъ,1
называютъ,1
владѣетъ,1
каждой,1
лишиться,1
лицомъ,1
того,3
кучеру,1
души,1
кроваткою,1
счастія,1
торговать,1
пахло,1
крѣпнетъ,1
второй,1
никого,1
каждый,2
какой,2
засвистали,1
хотѣлось,2
купишь,1
разсказать,1
бѣломъ,1
изъ,7
вашъ,3
слишкомъ,2
проснешься,1
каленые,1
овдадѣть,1
по-моему,1
новенькую,1
вашемъ,1
заплакали,1
монеты,1
людей,1
орѣхи,1
гармоніей,1
хвалили,1
человѣку,2
добывать,2
а,33
сердцемъ,1
пищали,1
пошли,2
самому,1
заплакалъ,1
чемъ,4
покупалъ,2
или,6
раза,1
очень,19
также,2
заплатите,1
будетъ,8
больше,4
маленькой,1
разѣ,1
замѣтилъ,1
взгляну,1
старушка,2
стекловидную,1
хлопотать,1
не,59
перекрестокъ,1
которыхъ,6
мое,1
былъ,9
морозецъ,1
посмотримъ,1
вамь,1
окружали,1
центръ,1
должно,1
есть,13
попрежнему,1
легко,1
старой,1
вѣрилъ,1
милая,1
постарался,1
началъ,1
этому,2
кошку,4
ней,1
невыгодное,1
безпокойно,1
яснымъ,1
досуга,1
требовать,2
времени,1
онъ,12
сдѣлано,1
даетъ,1
чего,1
большіе,1
одинъ,6
лукаво,1
радости,2
крестьянской,1
церкви,1
замяукала,1
воспользоваться,1
сробѣлъ,1
башмачнику,1
кромахъ,1
этого,1
хорошаго,1
пшеномъ,1
цѣлую,2
запонки,1
рублемъ,2
дорогъ,2
сверхъ,2
доказательство,1
завтра,1
покупщикъ,2
увлекательнымъ,1
рукѣ,1
богаче,1
особый,1
купилъ,4
другу,1
вниманіе,1
множество,1
должна,2
константинъ,1
рубли,1
молвилъ,1
думаете,1
псалтиря,1
неразмѣннаго,1
подошелъ,2
картузъ,1
одобреніе,1
смѣялись,1
